txn_id,upi_id,timestamp,amount,location,label
2d3338c4-2bff-4749-83fc-28ba6cc02ca8,user93@bank,2025-04-19T11:01:30.002643,1502.36,Chennai,fraud
46f15608-1fe7-4949-a7e0-071d72ac9577,user90@bank,2025-04-21T14:14:30.002643,3484.06,Delhi,legit
d0fe7fc2-da7c-4178-945c-af18a498d1f1,user20@bank,2025-04-16T14:29:30.003640,1224.59,Delhi,legit
d0bc07a3-492e-46cf-b943-336a01eb858c,user18@bank,2025-04-16T23:34:30.003640,191.05,Mumbai,legit
aed6cb3d-f1d9-4170-9113-61a9052ba18b,user46@bank,2025-04-21T06:11:30.003640,651.21,Mumbai,legit
4a1b9fac-e247-4b1f-b4b9-7f9f425bfa60,user85@bank,2025-04-15T12:05:30.003640,2486.32,Delhi,legit
27ac4cae-1130-42be-8071-726311f2b792,user89@bank,2025-04-19T03:49:30.003640,673.33,Mumbai,legit
e86d1791-66cf-44c1-9ca4-5172a7450c7d,user36@bank,2025-04-16T03:00:30.003640,2029.02,Mumbai,legit
54a0ea8b-fe17-4ceb-b6fe-a0b4e0bbaafb,user69@bank,2025-04-17T18:47:30.003640,4153.93,Chennai,legit
f1239927-8740-4772-aa27-9c7c3831f040,user30@bank,2025-04-18T05:27:30.003640,1847.18,Mumbai,legit
e9d3d066-6579-4038-8c34-11bdb40ad58c,user27@bank,2025-04-21T03:29:30.003640,1995.79,Delhi,legit
9e800ce4-d7e5-4ce0-9845-0390488e8424,user59@bank,2025-04-21T08:24:30.003640,4327.25,Delhi,legit
4d92cbae-d1eb-4b10-b06c-4770e2330730,user29@bank,2025-04-19T16:48:30.003640,4127.83,Delhi,legit
f0cf3e3a-2288-42d1-a7e7-97acabfb35cf,user94@bank,2025-04-17T16:31:30.003640,3460.21,Mumbai,legit
56e22b46-d405-4eee-84c2-e36146d81453,user38@bank,2025-04-19T00:32:30.003640,3249.63,Chennai,legit
8ee1c9fc-5860-44ff-acb3-29f93d41221d,user21@bank,2025-04-15T11:22:30.003640,4842.94,Chennai,legit
faa4dc1d-d138-455b-aa88-2fb1bd08895b,user2@bank,2025-04-19T09:42:30.003640,2021.51,Mumbai,legit
77fea511-515f-43b5-a13c-111624e5adc4,user37@bank,2025-04-17T10:01:30.003640,129.6,Chennai,legit
acb424ba-f4be-41d7-bd28-867ca9cd7207,user3@bank,2025-04-19T20:45:30.003640,3130.03,Mumbai,legit
