txn_id,true_label,pred_label,score,confidence
4bd7d3b7-6873-4f34-b54c-f06001c3d510,0,0,-9.794662676145096,-3.1312842997243147
808489fa-3ae8-44d6-99c9-1a6a2da688a4,0,0,-8.70257158982407,-3.3459010200336183
6cffc91f-405b-45d6-a8db-69672aa8b337,0,0,-9.05631339430622,-3.2763840109991373
40ec40ad-7922-43e1-b67e-e44479c76570,0,0,-9.534629477650997,-3.182385781030552
c581ed10-a5a3-4b37-ac76-9760c1ea9110,0,0,-9.250993930003844,-3.2381255739485857
4a0d94ee-9a84-4526-b62d-690d530b9436,0,0,-10.362489317749567,-3.0196955384462334
e436d3e2-6a5d-4cb4-9903-c0fe662dd7cd,0,0,-10.201255902291317,-3.051380978665773
6244fcd7-e875-47e4-9265-6ff246f34a98,0,0,-9.810177316780345,-3.1282353770368023
54ea8cdc-5067-45e4-aec1-5a24bc0f67cb,0,0,-9.661743115071681,-3.157405527724287
a3ffead5-17ab-4d8b-95ff-63e446af7118,0,1,-32.17204217910386,1.2662974205149913
e5a0a266-7d94-462a-8a1f-18ae115bc0ac,0,1,-32.19134504176497,1.2700908010569598
341a7734-0ad2-4844-9d74-96bec4d38a0e,0,1,-32.37128282419071,1.3054520060037322
d617a105-abad-4136-bb04-6282ba8d1615,0,1,-32.65867657158623,1.3619303568262895
6c217665-3bfa-4bd0-879a-632118bb0761,0,1,-32.37227985501166,1.3056479415694746
a9c37fdd-9554-44e3-a2c0-780c0be17291,0,0,-10.926938147016287,-2.9087705816940095
a4418ad9-b57f-4fa3-ad34-ef3745ba7839,0,0,-11.468543067943976,-2.802334888473168
9684cf2d-62e7-46d6-9502-e4b72071a146,0,0,-12.399550240674658,-2.6193742284159534
b0f505ee-a033-4453-ab6e-f28a73c13708,0,0,-12.609720961084392,-2.5780716747330628
206c68ae-be26-4a2c-aa96-13becc775f13,0,0,-14.435921406369191,-2.2191884688324137
14f03c4c-1a0d-432b-b02b-f70e18d04bb0,0,0,-18.949124799331862,-1.3322579532199652
7af08d12-7f3c-4a1b-9cc0-891f579cacf4,0,0,-18.979843688793757,-1.3262211057532716
b4c7a971-f91f-4cbf-956e-22fc93ece26f,0,0,-19.71255570006435,-1.1822292256255158
21f6b92f-7385-4657-b28f-0c8025cb320c,0,0,-20.26116817235749,-1.0744164149551416
5a5828dc-a1e5-4929-9037-2602cdfe7ade,0,0,-15.704401400925331,-1.969907965017757
ac8ee4eb-c4fd-4258-8096-44b3f9a08688,0,0,-14.386121095376659,-2.2289751794369344
68fcb417-2356-4ef3-bbcc-c3aecb6b0138,0,0,-15.427120880579011,-2.0243988739060024
d66ea92f-859e-4a04-8e48-8731c3256a1a,0,0,-13.81306212038332,-2.3415921939857816
213c5ec4-e521-431b-a62e-a7838ba23f1b,0,0,-13.631387068703766,-2.3772948054637655
692778a9-90b7-4b95-97b0-8a7320dcccc6,0,0,-11.921577424803473,-2.7133049997812293
30be48f5-5815-4812-adbf-0e3ce7d8ffce,0,0,-10.902383576363771,-2.91359602298554
42df1f1f-f002-48e7-9fc4-ba153a56fdae,0,0,-9.416812353859667,-3.2055390921609908
