txn_id,upi_id,timestamp,amount,location,transaction_type,device,ip_address,label
ad7d9bba-cb8d-4e48-8259-458ca36ed3cd,user2462@hdfc,2025-04-03T02:26:29.002581,28.84,Kolkata,Recharge,Web,122.219.142.120,legit
08e90049-76ce-4754-b7f9-3128ef2ee814,user3228@icici,2025-03-24T04:21:29.002581,26.49,Pune,Bill-Payment,iOS,94.130.24.45,legit
1eaffacb-0a5b-4d32-8f45-e2728a663a97,user3330@sbi,2025-04-14T10:35:29.002581,26.13,Noida,Peer-to-Peer,iOS,244.225.17.166,legit
028bd8db-9f78-4926-bb70-afbde1a6a81b,user2660@sbi,2025-03-22T13:19:29.002581,127.84,Mumbai,Peer-to-Peer,Web,230.73.99.62,legit
a510b1d5-e896-44de-8fde-44a135aa170c,user1742@hdfc,2025-04-07T14:17:29.002581,104.99,Hyderabad,Merchant-Payment,Web,93.78.72.201,legit
271a585f-0d93-41a4-9688-cb31534f29ac,user4777@pnb,2025-04-11T23:58:29.002581,8.18,Noida,Peer-to-Peer,Web,1.102.189.191,legit
d87e98a1-eb2d-47ce-97cd-433a9c630e0b,user37@pnb,2025-04-16T10:21:29.002581,64.72,Kolkata,Recharge,Web,9.12.193.142,legit
1f49892d-7c41-478f-9f8d-76ed26544fb3,user4711@icici,2025-04-03T21:35:29.002581,29.05,Chennai,Merchant-Payment,iOS,79.137.47.194,legit
c6b20512-735f-4756-b919-68d6b2611512,user778@kotak,2025-04-07T15:14:29.002581,299.4,Chennai,Bill-Payment,Web,96.33.91.25,legit
8d1897f2-92a5-457e-ac3f-a9c14c22ff5c,user1819@kotak,2025-04-11T12:41:29.002581,25.79,Bengaluru,Merchant-Payment,Web,192.184.74.60,legit
d3789cd7-bc55-4f64-92d8-fec6656ea125,user721@icici,2025-04-07T20:50:29.002581,31.56,Noida,Bill-Payment,Web,1.186.207.17,legit
1e072b4d-5e00-416a-8297-4264ead828bc,user575@pnb,2025-04-12T21:52:29.002581,32.68,Kolkata,Recharge,iOS,224.141.175.167,legit
a9b73bc9-ae6a-4c99-9d70-69d8d2f08c34,user2364@hdfc,2025-03-25T18:57:29.002581,115.73,Hyderabad,Peer-to-Peer,Web,96.71.155.175,legit
ac050a0b-675b-4fe6-a312-8a5bbbb4ce15,user1502@icici,2025-04-09T22:32:29.002581,109.24,Mumbai,Bill-Payment,Web,203.235.10.104,legit
4fa674fb-c83d-4efa-b6f1-21bff3cf59df,user590@kotak,2025-03-20T18:10:29.002581,62.03,Noida,Merchant-Payment,Android,60.101.224.254,legit
3384e22c-5abf-4619-a5f6-b07575928ca5,user7@icici,2025-04-17T10:31:29.002581,12.59,Hyderabad,Bill-Payment,iOS,28.216.104.169,legit
aff9299f-4804-4d58-a150-c9ed91a24faa,user1967@axis,2025-04-11T06:16:29.002581,35.34,Hyderabad,Merchant-Payment,Web,168.156.184.105,legit
2bc792d5-d2a9-4916-b804-c17a912cd951,user2301@kotak,2025-04-09T19:28:29.002581,78.07,Hyderabad,Merchant-Payment,iOS,176.151.140.24,legit
d978602b-b76b-4403-9a00-312aeb7c6236,user2560@axis,2025-03-21T05:10:29.002581,161.48,Pune,Merchant-Payment,Web,192.236.94.85,legit
64e43b41-4331-492e-90a8-79f4cff46c91,user2969@sbi,2025-04-18T09:39:29.002581,12.49,Hyderabad,Merchant-Payment,iOS,254.199.159.141,legit
d83fff1b-ef1b-4ae7-93fe-4055a81fe227,user123@sbi,2025-04-09T21:32:29.002581,68.6,Noida,Peer-to-Peer,Android,28.47.77.3,legit
4f987dae-b63d-4af1-99c9-13d997e72262,user2636@kotak,2025-03-22T17:27:29.002581,22.06,Mumbai,Merchant-Payment,Web,177.71.73.129,legit
7bf55539-fa9c-470b-9ed7-53e046de7a64,user2107@sbi,2025-04-11T00:03:29.002581,122.42,Mumbai,Merchant-Payment,Web,127.211.23.4,legit
2f1cf706-6056-4eba-a87c-2c7d3d243375,user2315@axis,2025-03-21T14:45:29.002581,108.15,Chennai,Recharge,Web,245.125.172.85,legit
51bfc885-bf28-4422-a03a-dcbdc5f86e46,user958@hdfc,2025-04-11T14:15:29.002581,58.38,Noida,Peer-to-Peer,Android,184.90.185.194,legit
27f4bf17-5e68-404b-95e6-ddf631b8a93d,user1061@hdfc,2025-04-14T09:28:29.002581,64.43,Chennai,Peer-to-Peer,iOS,86.224.82.62,legit
d0abc0cd-4bdd-4266-bcf2-ee2ddd5136c2,user2055@hdfc,2025-03-22T20:44:29.002581,50.08,Pune,Merchant-Payment,Web,163.102.18.37,legit
aeba3381-0b7c-4e16-9c5e-5a086d671d82,user1872@kotak,2025-04-06T00:19:29.002581,50.73,Hyderabad,Peer-to-Peer,iOS,1.10.114.131,legit
febc5d1b-af61-4854-8f6e-39d282d497e7,user2062@icici,2025-03-21T15:51:29.002581,178.69,Chennai,Bill-Payment,iOS,255.59.140.81,legit
07db85d7-5d5e-4c5e-9aa4-e6bc8ce7ff34,user3790@hdfc,2025-03-31T06:42:29.002581,28.56,Pune,Peer-to-Peer,iOS,219.230.149.236,legit
db760718-19ad-47e5-b636-438a5ffdd032,user3457@hdfc,2025-03-19T18:23:29.002581,27.96,Mumbai,Merchant-Payment,iOS,25.41.32.106,legit
aa2e5738-717b-488e-8a44-de0a9768adaf,user302@axis,2025-03-22T05:39:29.002581,34.03,Hyderabad,Peer-to-Peer,iOS,38.41.113.238,legit
94ed44cf-0a80-49f0-8605-0b349a5750ce,user1256@sbi,2025-03-24T01:34:29.002581,153.22,Mumbai,Merchant-Payment,iOS,65.40.46.70,legit
3bca206a-4839-4e4d-b075-f07b48678282,user3110@kotak,2025-04-10T12:59:29.002581,9.72,Delhi,Merchant-Payment,Android,186.102.114.123,legit
6705c24d-c044-4dc5-9078-45888a12f8ee,user194@icici,2025-03-19T23:17:29.002581,47.6,Chennai,Bill-Payment,Web,4.194.185.132,legit
7cadb9f2-1bd8-421a-a131-d4eadfcc0c29,user2901@sbi,2025-03-29T23:06:29.002581,63.42,Noida,Recharge,iOS,22.174.154.215,legit
c6cef69c-77bc-48cc-9cb3-297d0c6a0d29,user3846@kotak,2025-04-15T23:35:29.002581,405.31,Hyderabad,Merchant-Payment,Android,70.152.39.225,legit
efeea6b8-32af-437c-b19f-aeaa777a7fde,user3339@sbi,2025-03-20T15:45:29.002581,93.74,Mumbai,Peer-to-Peer,Android,84.119.15.69,legit
4bdf3a79-4229-45fe-a633-2abe9b11364c,user379@hdfc,2025-03-22T05:50:29.002581,120.37,Bengaluru,Peer-to-Peer,iOS,240.204.215.123,legit
